iteration,thread,score,best
80,4,-5.0,-1.0
81,4,-3.0,-1.0
82,4,-5.0,-1.0
83,4,-2.0,-1.0
84,4,-4.0,-1.0
85,4,-7.0,-1.0
86,4,-5.0,-1.0
87,4,-5.0,-1.0
88,4,-4.0,-1.0
89,4,-6.0,-1.0
90,4,-2.0,-1.0
91,4,-6.0,-1.0
92,4,-4.0,-1.0
93,4,-0.0,-0.0
94,4,-5.0,-0.0
95,4,-7.0,-0.0
96,4,-3.0,-0.0
97,4,-4.0,-0.0
98,4,-2.0,-0.0
99,4,-2.0,-0.0
100,4,-3.0,-0.0
101,4,-9.0,-0.0
102,4,-3.0,-0.0
103,4,-6.0,-0.0
104,4,-4.0,-0.0
105,4,-1.0,-0.0
106,4,-13.0,-0.0
107,4,-9.0,-0.0
108,4,-4.0,-0.0
109,4,-5.0,-0.0
110,4,-4.0,-0.0
