assembly_id,numSeqs,n50,smallest,largest,totLen,K,M,d,D,L,e,t,time,gz_size,ut_weight,ut_optimum,ut_max,ut_result,ut_time,brm_weight,brm_optimum,brm_max,brm_time,brm_total,brm_good,brm_bad,brm_paired,brm_unpaired,brm_proper_pair,brm_improper_pair,brm_proper_orientation,brm_improper_orientation,brm_both_mapped,brm_same_contig,brm_realistic,brm_unrealistic,brm_result,rba_weight,rba_optimum,rba_max,rba_time,rba_result,rba_query_hits,rba_target_hits,rba_mean_q_bitscore,rba_mean_t_bitscore
59,272,207,100,1639,55773,21,0,0,4,200,7,7,48.52291341,18875,1.0,0,272.0,201,3.259613066,1.0,0.0,1.0,0.251030793,16240,16239,0,16239,0,16239,0,16239,0,0,0,0,0,0,1.0,26000,26000.0,14.38914309,140,153,461,123.887,152.272
60,272,207,100,1639,55773,21,0,0,4,200,7,12,48.743856625,18875,1.0,0,272.0,201,3.31154386,1.0,0.0,1.0,0.255089336,16240,16239,0,16239,0,16239,0,16239,0,0,0,0,0,0,1.0,26000,26000.0,14.455287964,140,153,461,123.887,152.09
61,171,192,100,1556,33524,21,0,0,4,200,12,2,47.164869825,11541,1.0,0,171.0,128,3.062041834,1.0,0.0,1.0,0.239299309,12899,12898,0,12898,0,12898,0,12898,0,0,0,0,0,0,1.0,26000,26000.0,13.426169544,94,101,302,121.465,153.55
62,171,192,100,1556,33524,21,0,0,4,200,12,7,47.139333547,11541,1.0,0,171.0,128,3.06991305,1.0,0.0,1.0,0.239831008,12899,12898,0,12898,0,12898,0,12898,0,0,0,0,0,0,1.0,26000,26000.0,13.313882051,93,101,302,121.599,149.875
63,171,192,100,1556,33524,21,0,0,4,200,12,12,48.467203584,11541,1.0,0,171.0,128,3.244507406,1.0,0.0,1.0,0.245154051,12899,12898,0,12898,0,12898,0,12898,0,0,0,0,0,0,1.0,26000,26000.0,13.275712145,94,101,302,121.465,153.55
64,2382,168,100,1883,398383,21,0,0,4,200,2,2,49.844448186,132986,1.0,0,2382.0,1913,4.405336324,1.0,0.0,1.0,0.43938754,28783,28782,0,28782,0,28782,0,28782,0,0,0,0,0,0,1.0,26000,26000.0,17.607225984,784,1195,4095,110.136,137.078
65,2382,168,100,1883,398383,21,0,0,4,200,2,7,51.966124632,132986,1.0,0,2382.0,1913,4.361203019,1.0,0.0,1.0,0.448286302,28783,28782,0,28782,0,28782,0,28782,0,0,0,0,0,0,1.0,26000,26000.0,17.303607914,784,1195,4096,110.136,137.078
66,2382,168,100,1883,398383,21,0,0,4,200,2,12,52.262412414,132986,1.0,0,2382.0,1913,4.417815239,1.0,0.0,1.0,0.444541431,28783,28782,0,28782,0,28782,0,28782,0,0,0,0,0,0,1.0,26000,26000.0,17.534189567,783,1195,4095,110.134,137.039
67,272,207,100,1639,55773,21,0,0,4,200,7,2,49.278819443,18875,1.0,0,272.0,201,3.209342412,1.0,0.0,1.0,0.254959413,16240,16239,0,16239,0,16239,0,16239,0,0,0,0,0,0,1.0,26000,26000.0,14.492615707,140,153,461,123.887,152.968
68,272,207,100,1639,55773,21,0,0,4,200,7,7,47.110229513,18875,1.0,0,272.0,201,3.248553237,1.0,0.0,1.0,0.250550993,16240,16239,0,16239,0,16239,0,16239,0,0,0,0,0,0,1.0,26000,26000.0,14.519562846,140,153,461,123.887,152.968
69,272,207,100,1639,55773,21,0,0,4,200,7,12,48.38044515,18875,1.0,0,272.0,201,3.327740578,1.0,0.0,1.0,0.254456145,16240,16239,0,16239,0,16239,0,16239,0,0,0,0,0,0,1.0,26000,26000.0,14.580282798,140,153,461,123.887,152.968
70,171,192,100,1556,33524,21,0,0,4,200,12,2,48.188184284,11541,1.0,0,171.0,128,3.05630024,1.0,0.0,1.0,0.236033488,12899,12898,0,12898,0,12898,0,12898,0,0,0,0,0,0,1.0,26000,26000.0,13.406228985,94,101,302,121.465,149.53
71,171,192,100,1556,33524,21,0,0,4,200,12,7,50.517726779,11541,1.0,0,171.0,128,3.129757188,1.0,0.0,1.0,0.245062163,12899,12898,0,12898,0,12898,0,12898,0,0,0,0,0,0,1.0,26000,26000.0,13.265526072,94,101,302,121.465,153.55
72,171,192,100,1556,33524,21,0,0,4,200,12,12,49.807235319,11541,1.0,0,171.0,128,3.083839598,1.0,0.0,1.0,0.237100415,12899,12898,0,12898,0,12898,0,12898,0,0,0,0,0,0,1.0,26000,26000.0,13.239011726,94,101,302,121.465,153.55
73,2382,168,100,1883,398383,21,0,0,4,200,2,2,49.018120823,132986,1.0,0,2382.0,1913,4.345412846,1.0,0.0,1.0,0.448117236,28783,28782,0,28782,0,28782,0,28782,0,0,0,0,0,0,1.0,26000,26000.0,17.459330714,784,1195,4095,110.136,137.078
74,2382,168,100,1883,398383,21,0,0,4,200,2,7,47.256540748,132986,1.0,0,2382.0,1913,4.380990692,1.0,0.0,1.0,0.447473825,28783,28782,0,28782,0,28782,0,28782,0,0,0,0,0,0,1.0,26000,26000.0,17.456555764,784,1195,4096,110.136,137.078
75,2382,168,100,1883,398383,21,0,0,4,200,2,12,47.321066695,132986,1.0,0,2382.0,1913,4.384854988,1.0,0.0,1.0,0.451655922,28783,28782,0,28782,0,28782,0,28782,0,0,0,0,0,0,1.0,26000,26000.0,17.458476255,784,1195,4096,110.136,137.078
76,272,207,100,1639,55773,21,0,0,4,200,7,2,48.955077398,18875,1.0,0,272.0,201,3.311169744,1.0,0.0,1.0,0.255659743,16240,16239,0,16239,0,16239,0,16239,0,0,0,0,0,0,1.0,26000,26000.0,14.58583008,140,153,461,123.887,151.304
77,272,207,100,1639,55773,21,0,0,4,200,7,7,49.875660839,18875,1.0,0,272.0,201,3.246033914,1.0,0.0,1.0,0.258417993,16240,16239,0,16239,0,16239,0,16239,0,0,0,0,0,0,1.0,26000,26000.0,15.721112721,141,153,461,123.891,148.635
78,272,207,100,1639,55773,21,0,0,4,200,7,12,48.364716248,18875,1.0,0,272.0,201,3.281622491,1.0,0.0,1.0,0.258408827,16240,16239,0,16239,0,16239,0,16239,0,0,0,0,0,0,1.0,26000,26000.0,14.343335283,140,153,461,123.802,151.738
79,171,192,100,1556,33524,21,0,0,4,200,12,2,47.851726092,11541,1.0,0,171.0,128,3.144126976,1.0,0.0,1.0,0.231998668,12899,12898,0,12898,0,12898,0,12898,0,0,0,0,0,0,1.0,26000,26000.0,13.400439073,94,101,302,121.465,153.55
80,171,192,100,1556,33524,21,0,0,4,200,12,7,47.725674259,11541,1.0,0,171.0,128,3.133478757,1.0,0.0,1.0,0.235759342,12899,12898,0,12898,0,12898,0,12898,0,0,0,0,0,0,1.0,26000,26000.0,13.793235431,93,101,302,121.599,146.892
81,171,192,100,1556,33524,21,0,0,4,200,12,12,45.965274863,11541,1.0,0,171.0,128,3.133966468,1.0,0.0,1.0,0.246213359,12899,12898,0,12898,0,12898,0,12898,0,0,0,0,0,0,1.0,26000,26000.0,13.091205684,94,101,302,121.465,153.55
82,2382,168,100,1883,398383,21,0,0,6,200,2,2,48.952367713,132986,1.0,0,2382.0,1913,4.36839996,1.0,0.0,1.0,0.460515352,28783,28782,0,28782,0,28782,0,28782,0,0,0,0,0,0,1.0,26000,26000.0,17.540108867,784,1195,4095,110.136,137.078
83,2382,168,100,1883,398383,21,0,0,6,200,2,7,51.353178715,132986,1.0,0,2382.0,1913,4.437653823,1.0,0.0,1.0,0.4625144,28783,28782,0,28782,0,28782,0,28782,0,0,0,0,0,0,1.0,26000,26000.0,18.852932507,784,1195,4095,110.136,137.078
84,2382,168,100,1883,398383,21,0,0,6,200,2,12,50.443178677,132986,1.0,0,2382.0,1913,4.407442639,1.0,0.0,1.0,0.455693653,28783,28782,0,28782,0,28782,0,28782,0,0,0,0,0,0,1.0,26000,26000.0,17.357179023,784,1195,4095,110.136,137.078
85,272,207,100,1639,55773,21,0,0,6,200,7,2,48.178576369,18875,1.0,0,272.0,201,3.314963727,1.0,0.0,1.0,0.260968661,16240,16239,0,16239,0,16239,0,16239,0,0,0,0,0,0,1.0,26000,26000.0,14.403617968,140,153,461,123.887,152.344
86,272,207,100,1639,55773,21,0,0,6,200,7,7,45.728812058,18875,1.0,0,272.0,201,3.263492396,1.0,0.0,1.0,0.25064259,16240,16239,0,16239,0,16239,0,16239,0,0,0,0,0,0,1.0,26000,26000.0,14.527921064,140,153,461,123.887,152.968
87,272,207,100,1639,55773,21,0,0,6,200,7,12,48.048241261,18875,1.0,0,272.0,201,3.299304864,1.0,0.0,1.0,0.262568352,16240,16239,0,16239,0,16239,0,16239,0,0,0,0,0,0,1.0,26000,26000.0,14.442481464,140,153,461,123.887,152.968
88,171,192,100,1556,33524,21,0,0,6,200,12,2,48.516184618,11541,1.0,0,171.0,128,3.104654725,1.0,0.0,1.0,0.240367787,12899,12898,0,12898,0,12898,0,12898,0,0,0,0,0,0,1.0,26000,26000.0,13.327608617,94,101,302,121.465,153.55
